native_text,english_text,category,part_of_speech,level,example_sentence,english_audio_url,native_audio_url,image_url,sort_order
,1,numbers,number,basic,The number is 1.,,,,1
,2,numbers,number,basic,The number is 2.,,,,2
,3,numbers,number,basic,The number is 3.,,,,3
,4,numbers,number,basic,The number is 4.,,,,4
,5,numbers,number,basic,The number is 5.,,,,5
,6,numbers,number,basic,The number is 6.,,,,6
,7,numbers,number,basic,The number is 7.,,,,7
,8,numbers,number,basic,The number is 8.,,,,8
,9,numbers,number,basic,The number is 9.,,,,9
,10,numbers,number,basic,The number is 10.,,,,10
,11,numbers,number,basic,The number is 11.,,,,11
,12,numbers,number,basic,The number is 12.,,,,12
,13,numbers,number,basic,The number is 13.,,,,13
,14,numbers,number,basic,The number is 14.,,,,14
,15,numbers,number,basic,The number is 15.,,,,15
,16,numbers,number,basic,The number is 16.,,,,16
,17,numbers,number,basic,The number is 17.,,,,17
,18,numbers,number,basic,The number is 18.,,,,18
,19,numbers,number,basic,The number is 19.,,,,19
,20,numbers,number,basic,The number is 20.,,,,20
,21,numbers,number,basic,The number is 21.,,,,21
,22,numbers,number,basic,The number is 22.,,,,22
,23,numbers,number,basic,The number is 23.,,,,23
,24,numbers,number,basic,The number is 24.,,,,24
,25,numbers,number,basic,The number is 25.,,,,25
,26,numbers,number,basic,The number is 26.,,,,26
,27,numbers,number,basic,The number is 27.,,,,27
,28,numbers,number,basic,The number is 28.,,,,28
,29,numbers,number,basic,The number is 29.,,,,29
,30,numbers,number,basic,The number is 30.,,,,30
,31,numbers,number,basic,The number is 31.,,,,31
,32,numbers,number,basic,The number is 32.,,,,32
,33,numbers,number,basic,The number is 33.,,,,33
,34,numbers,number,basic,The number is 34.,,,,34
,35,numbers,number,basic,The number is 35.,,,,35
,36,numbers,number,basic,The number is 36.,,,,36
,37,numbers,number,basic,The number is 37.,,,,37
,38,numbers,number,basic,The number is 38.,,,,38
,39,numbers,number,basic,The number is 39.,,,,39
,40,numbers,number,basic,The number is 40.,,,,40
,41,numbers,number,basic,The number is 41.,,,,41
,42,numbers,number,basic,The number is 42.,,,,42
,43,numbers,number,basic,The number is 43.,,,,43
,44,numbers,number,basic,The number is 44.,,,,44
,45,numbers,number,basic,The number is 45.,,,,45
,46,numbers,number,basic,The number is 46.,,,,46
,47,numbers,number,basic,The number is 47.,,,,47
,48,numbers,number,basic,The number is 48.,,,,48
,49,numbers,number,basic,The number is 49.,,,,49
,50,numbers,number,basic,The number is 50.,,,,50
,51,numbers,number,basic,The number is 51.,,,,51
,52,numbers,number,basic,The number is 52.,,,,52
,53,numbers,number,basic,The number is 53.,,,,53
,54,numbers,number,basic,The number is 54.,,,,54
,55,numbers,number,basic,The number is 55.,,,,55
,56,numbers,number,basic,The number is 56.,,,,56
,57,numbers,number,basic,The number is 57.,,,,57
,58,numbers,number,basic,The number is 58.,,,,58
,59,numbers,number,basic,The number is 59.,,,,59
,60,numbers,number,basic,The number is 60.,,,,60
,61,numbers,number,basic,The number is 61.,,,,61
,62,numbers,number,basic,The number is 62.,,,,62
,63,numbers,number,basic,The number is 63.,,,,63
,64,numbers,number,basic,The number is 64.,,,,64
,65,numbers,number,basic,The number is 65.,,,,65
,66,numbers,number,basic,The number is 66.,,,,66
,67,numbers,number,basic,The number is 67.,,,,67
,68,numbers,number,basic,The number is 68.,,,,68
,69,numbers,number,basic,The number is 69.,,,,69
,70,numbers,number,basic,The number is 70.,,,,70
,71,numbers,number,basic,The number is 71.,,,,71
,72,numbers,number,basic,The number is 72.,,,,72
,73,numbers,number,basic,The number is 73.,,,,73
,74,numbers,number,basic,The number is 74.,,,,74
,75,numbers,number,basic,The number is 75.,,,,75
,76,numbers,number,basic,The number is 76.,,,,76
,77,numbers,number,basic,The number is 77.,,,,77
,78,numbers,number,basic,The number is 78.,,,,78
,79,numbers,number,basic,The number is 79.,,,,79
,80,numbers,number,basic,The number is 80.,,,,80
,81,numbers,number,basic,The number is 81.,,,,81
,82,numbers,number,basic,The number is 82.,,,,82
,83,numbers,number,basic,The number is 83.,,,,83
,84,numbers,number,basic,The number is 84.,,,,84
,85,numbers,number,basic,The number is 85.,,,,85
,86,numbers,number,basic,The number is 86.,,,,86
,87,numbers,number,basic,The number is 87.,,,,87
,88,numbers,number,basic,The number is 88.,,,,88
,89,numbers,number,basic,The number is 89.,,,,89
,90,numbers,number,basic,The number is 90.,,,,90
,91,numbers,number,basic,The number is 91.,,,,91
,92,numbers,number,basic,The number is 92.,,,,92
,93,numbers,number,basic,The number is 93.,,,,93
,94,numbers,number,basic,The number is 94.,,,,94
,95,numbers,number,basic,The number is 95.,,,,95
,96,numbers,number,basic,The number is 96.,,,,96
,97,numbers,number,basic,The number is 97.,,,,97
,98,numbers,number,basic,The number is 98.,,,,98
,99,numbers,number,basic,The number is 99.,,,,99
,100,numbers,number,basic,The number is 100.,,,,100
